GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
530,719ETH,32864,08/12/2003,2003,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,BBC Monitoring,Man lobs grenade at hotel,2
530,721ETH,32865,13/12/2003,2003,1,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,Anuak Ethnic Militia (Ethiopia),,4,14,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,2,BBC Monitoring,"Anuak tribesmen clash with police, kill 2",2
530,720ETH,32866,13/12/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,3
530,725ETH,32867,13/12/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Garwaan,6.75000,44.50000,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,722ETH,32868,13/12/2003,2003,1,Riots/Protests,Rioters (Ethiopia),,5,,,0,50,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,Agence France Presse,Riots after gunmen kill civilians,0
530,724ETH,32870,13/12/2003,2003,1,Violence against civilians,Anuak Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,2,BBC Monitoring,"Anuak tribesmen attack NGO, kill civilians",6
530,723ETH,32869,13/12/2003,2003,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,All Africa,Soldiers exact revenge after Anuak tribesmen ambush convoy; kill civilians randomly in Gambela,0
530,727ETH,32871,14/12/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Korahe,6.61528,44.34056,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,6
530,726ETH,32872,14/12/2003,2003,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,All Africa,Soldiers exact revenge after Anuak tribesmen ambush convoy; kill civilians randomly in Gambela,50
530,728ETH,32873,15/12/2003,2003,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25000,34.58330,1,All Africa,Soldiers exact revenge after Anuak tribesmen ambush convoy; kill civilians randomly in Gambela. Hundreds feared dead,50
530,729ETH,32874,15/01/2004,2004,3,Battle-No change of territory,Oromo Ethnic Militia (Ethiopia),,4,Somali Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Mirab Hararghe,Mieso,Mieso,9.23506,40.75483,2,UN IRIN,At least 18 killed in clashes between Oromo and Somali ethnic groups; no breakdown of death toll,18
530,731ETH,32875,29/01/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Liben,Moyale,Dadacha Bala,3.56700,39.65000,1,BBC Monitoring,OLF attacks Ethiopian troops,4
530,730ETH,32876,29/01/2004,2004,1,Violence against civilians,Anuak Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Dawro,Esira,Dimma,6.70000,36.85000,1,Agence France Presse,Anuak Ethnic Militia attacks Ethiopians from other regions and ethnic groups,0
530,732ETH,32877,30/01/2004,2004,1,Violence against civilians,Anuak Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Dawro,Esira,Dimma,6.70000,36.85000,1,Agence France Presse,Government claims Anuak Ethnic Militia kills 196 people in fighting in one day. Other accounts say between 50 and 70 died,50
530,733ETH,32878,31/01/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Afder,West Imi,Imi,6.45000,42.13330,2,BBC Monitoring,OLF attacks Ethiopian troops,0
530,735ETH,32879,06/02/2004,2004,1,Battle-No change of territory,Unidentified Armed Group (Ethiopia),,3,Anuak Ethnic Militia (Ethiopia),,4,34,Ethiopia,"Southern Nations, Nationalities and Peoples",Dawro,Esira,Dimma,6.70000,36.85000,1,Associated Press,More fighting between Anuaks and other ethnic groups,0
530,734ETH,32880,06/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,3
530,736ETH,32881,06/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.74000,44.27806,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,737ETH,32882,07/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Korahe,6.61528,44.34056,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,5
530,738ETH,32883,09/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Siti,Ayisha,Harad,10.66583,42.45278,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,1
530,739ETH,32884,09/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Siti,Shinile,Gedi-ar,10.41778,42.33583,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,740ETH,32885,11/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Dabaqoodhiga Ethnic Militia (Ethiopia),,4,14,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.35000,42.80000,1,BBC Monitoring,Ethiopian troops attack Dabaqoodhiga militia,7
530,741ETH,32886,15/02/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,742ETH,32887,18/02/2004,2004,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ARDUF: Afar Revolutionary Democratic Unity Front,,3,13,Ethiopia,Amhara,Debub Gondar,Farta,Samara,11.85000,38.01670,1,BBC Monitoring,ARDUF attacks Ethiopian troops,0
530,755ETH,32888,13/03/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Meta Robi,Minare,9.61670,38.25000,1,BBC Monitoring,OLF retaliates after Ethiopian soldiers kill students,20
530,753ETH,32889,13/03/2004,2004,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.74000,44.27806,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,743ETH,32890,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Misraq Shewa,Adaa,Debre Zeyit,8.75000,38.98300,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,744ETH,32891,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Debub Mirab Shewa,Alem Gena,Fiche,8.96700,38.60000,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,745ETH,32892,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Mirab Shewa,Ambo Zuria,Ambo,8.98330,37.85000,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,746ETH,32893,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Mirab Hararghe,Chiro Zuria,Asebe Teferi,9.08333,40.86667,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,747ETH,32894,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Debub Mirab Shewa,Dawo,Weliso,8.73330,38.06670,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,748ETH,32895,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Misraq Harerge,Fedis,Bako,9.13306,42.07833,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,749ETH,32896,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Misraq Wellega,Guto Gida,Nekemt,9.08330,36.55000,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
530,750ETH,32897,13/03/2004,2004,1,Riots/Protests,Protesters (Ethiopia),Omoro Ethnic Group (Ethiopia),6,,,0,60,Ethiopia,Oromia,Misraq Harerge,Haro Maya,Alemaya,9.39472,42.01306,1,BBC Monitoring,Ethnic Oromo students protest against Ethiopian regime,0
