,index,EVENT_ID_NO_CNTY,Date,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
460,460,32624,6/24/2002,2002,1,Remote violence,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.5833,41.8667,1,Agence France Presse,"OLF plants bomb at rail station, no one injured",0
461,461,32625,6/25/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,58
462,462,32626,6/25/2002,2002,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Benshangul-Gumaz,Asosa,Assosa,Asosa,10.0667,34.5333,1,"BBC Monitoring, 6/29/2002",OLF soldiers said to be active in Asosa town,0
463,463,32627,6/27/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Kelem Wellega,Gidami,Tarsimo,8.93333,34.56667,1,"BBC Monitoring, 7/3/2002",OLF attacks Ethiopian troops,93
464,464,32628,6/29/2002,2002,1,Remote violence,Civilians (Ethiopia),,7,OLF: Oromo Liberation Front,,2,27,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Akobo,9.5833,41.8667,1,Factiva - Dow Jones Newswire,OLF bomb railway station at Dire Dawa - Akobo.,0
465,465,32629,6/29/2002,2002,1,Remote violence,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Akobo,9.5833,41.8667,1,Factiva - Dow Jones Newswire,OLF bomb railway station at Dire Dawa - Akobo. EDF sustain heavy loses.,60
466,466,32630,6/30/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.35,42.8,2,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,7
467,467,32631,7/1/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.74,44.27806,2,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,5
468,468,32632,7/2/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,San Damer,8.17361,43.23556,1,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,13
469,469,32633,7/3/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,2,"Reuters, 7/4/2002",Ethiopian troops attack OLF,25
470,470,32634,7/3/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Afder,Bare,Hero Gul,5.6625,43.84861,1,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,11
471,471,32635,7/7/2002,2002,1,Battle-No change of territory,Anuak Ethnic Militia (Ethiopia),,4,Nuer Ethnic Militia (Ethiopia),Nuer Ethnic Militia (Sudan),4,44,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,"Factiva - AFP, BBC Monitoring",Over two months of fighting 60 people have died.,60
472,472,32636,7/12/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Nogob,Dihun,Dawodid,7.21667,42.7,2,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,5
473,473,32637,7/15/2002,2002,2,Battle-No change of territory,Anuak Ethnic Militia (Ethiopia),,4,Nuer Ethnic Militia (Ethiopia),,4,44,Ethiopia,Gambela Peoples,Agnuak,Itang,Itang,8.2,34.2667,1,"BBC Monitoring, 7/25/2002",Ethnic clashes between Anuaks and Nuers,54
474,474,32638,7/15/2002,2002,3,Battle-No change of territory,Anuak Ethnic Militia (Ethiopia),,4,Nuer Ethnic Militia (Ethiopia),,4,44,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,2,"BBC Monitoring, 10/4/2002",Ethnic clashes in Southern Ethiopia,0
475,475,32639,7/17/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Afder,Serer/Elkere,Elkere,5.6833,42.35,1,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,6
476,476,32640,7/18/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Gumburka,9.3333,43.05,1,"BBC Monitoring, 8/1/2002","Ethiopian soldiers attack ONLF, battle ensues",0
477,477,32641,7/18/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Afder,West Imi,Imi,6.45,42.1333,2,"BBC Monitoring, 8/1/2002",ONLF attacks Ethiopian soldiers,7
478,478,32642,7/19/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Gumburka,9.3333,43.05,1,"BBC Monitoring, 8/1/2002","Ethiopian soldiers attack ONLF, battle ensues",27
479,479,32643,7/20/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Korahe,6.61528,44.34056,2,"BBC Monitoring, 8/6/2002",ONLF attacks Ethiopian soldiers,13
480,480,32644,7/21/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Kelem Wellega,Gidami,Qelem,8.93333,34.56667,1,"BBC Monitoring, 8/4/2002",OLF attacks Ethiopian troops,15
481,481,32645,7/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,SLF: Sidama Liberation Front,,3,13,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Wonosho,Dale,6.75,38.5,2,"BBC Monitoring, 7/31/2002",Sidama Liberation Army attacks Ethiopian troops,0
482,482,32646,7/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,SLF: Sidama Liberation Front,,3,13,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Wonosho,Dale,6.75,38.5,2,"BBC Monitoring, 7/31/2002",Sidama Liberation Army attacks Ethiopian troops,0
